officename,pincode,Deliverystatus,Taluk,Districtname,statename
Bhainsa S.O (Adilabad),504103,Delivery,Mudhole,Adilabad,ANDHRA PRADESH
Coal Chemical Complex S.O,504302,Delivery,Mancherial,Adilabad,ANDHRA PRADESH
Kotapalli S.O,504214,Delivery,Chennur,Adilabad,ANDHRA PRADESH
Neradigonda S.O,504323,Delivery,Boath,Adilabad,ANDHRA PRADESH
Soan S.O,504105,Delivery,Nirmal,Adilabad,ANDHRA PRADESH
Srirampur Colony S.O,504303,Delivery,Mancherial,Adilabad,ANDHRA PRADESH
Bheemaram S.O,504204,Delivery,Chennur,Adilabad,ANDHRA PRADESH
Chinnoor S.O,504201,Delivery,Chennoor,Adilabad,ANDHRA PRADESH
Devapur Cement Works S.O,504218,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Madaram Township S.O,504220,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Sirpur (T) S.O,504299,Delivery,Sirpur (t),Adilabad,ANDHRA PRADESH
Tamsi S.O,504312,Delivery,Adilabad,Adilabad,ANDHRA PRADESH
Asifabad S.O,504293,Delivery,Asifabad,Adilabad,ANDHRA PRADESH
Bellampalli S.O,504251,Delivery,Bellampalle,Adilabad,ANDHRA PRADESH
Boath S.O,504304,Delivery,Boath,Adilabad,ANDHRA PRADESH
Dilawarpur S.O,504306,Delivery,Nirmal,Adilabad,ANDHRA PRADESH
Gudihatnoor S.O,504308,Delivery,Boath,Adilabad,ANDHRA PRADESH
Gumma S.O (Adilabad),504309,Delivery,Adilabad,Adilabad,ANDHRA PRADESH
Indervelli S.O,504346,Delivery,Utnoor,Adilabad,ANDHRA PRADESH
Khanapur S.O (Adilabad),504203,Delivery,Khanapur,Adilabad,ANDHRA PRADESH
Mamda S.O,504310,Delivery,Nirmal,Adilabad,ANDHRA PRADESH
Mudhole S.O,504102,Delivery,Mudhole,Adilabad,ANDHRA PRADESH
Jannaram S.O,504205,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Nennel S.O,504219,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Tiryani S.O,504297,Delivery,Tiryani,Adilabad,ANDHRA PRADESH
Jaipur S.O,504216,Delivery,Chennur,Adilabad,ANDHRA PRADESH
Kalyani Khani S.O,504231,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Luxettipet S.O,504215,Delivery,Luxettipet,Adilabad,ANDHRA PRADESH
Mancherial Cement Works S.O,504209,Delivery,Mancherial,Adilabad,ANDHRA PRADESH
Peddur S.O,504202,Delivery,Khanapur,Adilabad,ANDHRA PRADESH
Rechini S.O,504273,Delivery,Sirpur (t),Adilabad,ANDHRA PRADESH
Tandur (A) S.O,504272,Delivery,Sirpur (t),Adilabad,ANDHRA PRADESH
Chincholi (B) S.O,504110,Delivery,Nirmal,Adilabad,ANDHRA PRADESH
